48, 8
24, 4
12, 4
16, 4
12, 4
16, 4
16, 4
16, 4
48, 8
24, 4
16, 4
16, 4
12, 4
16, 4
16, 4
-16, -4
-24, -4
16, 4
48, 8
24, 4
12, 4
16, 4
12, 4
16, 4
16, 4
16, 4
-12, -4
-24, -4
20, 4
48, 8
24, 4
16, 4
16, 4
12, 4
48, 8
16, 4
16, 4
24, 4
16, 4
16, 4
-16, -4
12, 4
16, 4
-24, -4
16, 4
-16, -4
-24, -4
-20, -4
48, 8
24, 4
12, 4
16, 4
12, 4
16, 4
16, 4
-12, -4
-24, -4
40, 4
48, 8
24, 4
16, 4
16, 4
12, 4
16, 4
16, 4
-16, -4
-24, -4
48, 8
24, 4
16, 4
16, 4
12, 4
16, 4
16, 4
-16, -4
-24, -4
-40, -4
40, 4
48, 8
24, 4
16, 4
16, 4
12, 4
16, 4
16, 4
16, 4
-16, -4
-24, -4
-40, -4
16, 4
16, 4
48, 8
24, 4
20, 4
16, 4
12, 4
16, 4
16, 4
48, 8
24, 4
20, 4
16, 4
12, 4
16, 4
16, 4
16, 4
-16, -4
-20, -4
-16, -4
-20, -4
-24, -4
-24, -4
-24, -4
160, 32
48, 8
24, 4
20, 4
16, 4
12, 4
16, 4
12, 4
16, 4
8, 4
252, 4
24, 4
48, 4
8, 4
-20, -4
-252, -4
-48, -4
-160, -32
-24, -4
1024, 1
32, 4
-16, -4
8, 4
32, 4
-16, -4
